Comment,Code,Northing,Easting
AROGYADHAM GATE,GATE,2782343.434,486038.5
SRI NARAYAN TEMPLE,TEMPLE,2782434.371,486057.062
GANGA DWAR,GATE,2782519.253,486189.411
RAGHUVEER MANDIR,TEMPLE,2782675.529,486289.986
SWAMI shriramanandcharya GATE,GATE,2782672.721,486267.56
SADGURU HOSPITAL,HOSPITAL,2782690.684,486220.853
VIDYADHAM VIDYALAYA,SCHOOL,2782821.8,485929.663
VIDYADHAM TEACHERS BUILDING,RESIDENCY,2783073.154,485751.288
KRITISHESH VISHRAM,RESIDENCY,2783245.961,485629.224
PARIKRAMA GATE,GATE,2783555.272,485352.099
KAMADNATH MUKHARBIND mandir,TEMPLE,2783537.966,485291.346
AGNI DEV TEMPLE,TEMPLE,2783343.677,485038.698
RAM JANKI MAHAL MANDIR,TEMPLE,2783214.154,484999.927
MAHA Nirvani AKHADA,TEMPLE,2783199.167,484822.925
SAKSHI GOPAL TEMPLE,TEMPLE,2783210.176,484728.655
GURU VASISHTHA ASHRAM,DHARMSHALA / ASHRAM,2783287.899,484676.601
BHARAT JANAK MILAP TEMPLE,TEMPLE,2783324.62,484673.542
RAMAYAN DARSHAN,TEMPLE,2783318.475,484607.844
VIRJA KUND,POND,2783371.425,484387.171
RAM JANKI MANDIR,TEMPLE,2783420.677,484231.833
SAKET BIHARI ASHRAM,DHARMSHALA / ASHRAM,2783518.031,483888.775
NARSINH AVTAR TEMPLE,TEMPLE,2783543.595,483815.446
TRITIYA MUKHARBIND MANDIR,TEMPLE,2783591.994,483794.178
PRIMARY SCHOOL,SCHOOL,2783630.668,483688.294
JAHNAVI WATCH,SHOP,2784007.926,483953.36
VARHA KE HANUMANJI,TEMPLE,2784086.836,484115.974
KAMADGIRI PASCHIM DWAR,GATE,2784149.624,484168.67
CHOPRA MANDIR,TEMPLE,2784247.346,484203.094
VANVASIRAM MANDIR,TEMPLE,2784333.45,484385.04
RAVIDAS ASHRAM,DHARMSHALA / ASHRAM,2784354.39,484480.85
RAM JANKI mandir,TEMPLE,2784350.766,484526.651
LODHI rajput DHARMSALA,DHARMSHALA / ASHRAM,2784279.64,484660.572
KAMATNATH 4TH GATE,GATE,2784172.238,484769.327
RADHA krishna pracheen Mandir,TEMPLE,2784122.08,484861.365
HANUMANJI MANDIR,TEMPLE,2784039.536,484972.35
JAGDISH MANDIR,TEMPLE,2784005.649,485085.681
RUKMANI RAM JANKI MANDIR,TEMPLE,2783991.327,485101.011
BAKE BIHARI JI MANDIR,TEMPLE,2783957.186,485185.781
KAMDAGIRI MAIN gate,GATE,2783908.678,485199.987
MAHADEEV SHIV temple,TEMPLE,2783824.866,485259.9
SANKAT MOCHAN HANUMAN mandir,TEMPLE,2783685.387,485322.795
RAM JANKI Mandir,TEMPLE,2783623.446,485321.983
TULSI Mahavidyalaya,SCHOOL,2783770.907,485361.15
KAMTA CHITRAKOOT VIDYALAYA,SCHOOL,2783874.029,485291.548
Hotel RAJ RESTAURANT,HOTEL,2784039.678,485229.023
HOTEL KSHMA,HOTEL,2784174.122,485297.534
KURMI DHARAMSHALA,DHARMSHALA / ASHRAM,2784157.273,485354.706
RAM RAJA HOTEL,HOTEL,2784109.022,485483.472
KAHAR SAMAJ DDHARMSHALA,DHARMSHALA / ASHRAM,2784146.722,485654.819
KAMLA BHAVAN HOTEL,HOTEL,2784140.163,486027.519
HANUMAN MANDIR,TEMPLE,2784301.664,486316.212
SHIVHARE DHARMSHALA,DHARMSHALA / ASHRAM,2784327.128,486349.545
RAMJANKI DHARAMSHALA,DHARMSHALA / ASHRAM,2784361.014,486539.711
RAM JANKI BHOJANALAY,DHABA,2784338,486558.834
SBI ATM,ATM,2784329.038,486642.073
ASHOK HOTEL,HOTEL,2784309.881,486667.638
KAMTANATH HOTEL AND RESTAURANT,HOTEL,2784289.879,486679.089
ATM,ATM,2784274.032,486681.175
HP GAS, PETROL PUMP,2784274.787,486684.039
MAHINDRA FINANCE,BANK,2784276.263,486686.277
CANARA BANK,BANK,2784276.535,486705.979
SMALL BRIDGE,BRIDGE,2784272.159,486729.235
RIVER BANK,RIVER,2784248.888,486862.441
TOURIST BUNGLOW,RESIDENCY,2784199.119,486782.278
RAMDHAM mandir,TEMPLE,2784032.829,486797.938
SIYARAM KUTEER,RESIDENCY,2784017.032,486784.771
HOTEL RAGHUVEER,HOTEL,2783964.626,486746.177
BAAGRI DHARMSHALA,DHARMSHALA / ASHRAM,2783902.628,486741.645
DIVYA SHRI PHUJYALAY,DHABA,2783831.078,486740.787
DASH VIDYA Mandir,TEMPLE,2783808.21,486735.621
RAMAYDHI KUTEE CHITRAKOOT,DHARMSHALA / ASHRAM,2783788.952,486746.188
HOTEL ANUJ,HOTEL,2783754.855,486732.531
UDRA RESTAURANT,DHABA,2783593.557,486701.179
HOTEL SANGITA SADAN,HOTEL,2783552.126,486692.425
ICICI bank ATM,ATM,2783544.009,486688.381
SHIV HARE RESTAURANT,DHABA,2783508.492,486695.777
BUS stand,BUSSTAND,2783440.671,486725.987
KAKKA DABHA,DHABA,2783410.721,486702.809
SHRI DHAR DHAM DEV ESTHAN,TEMPLE,2783308.32,486667.356
CIVIL NAYALAY,COURT,2783232.155,486665.786
RAGHAV MEDICAL STORE,MEDICAL,2783104.893,486580.383
TULSI PITH SHEVA NYASH,RESIDENCY,2783089.205,486582.464
MANAS DARSHAN,TEMPLE,2783064.83,486562.396
HOTEL RAMSONS,HOTEL,2783043.442,486548.035
SHANTI SHEVA DHAM,TEMPLE,2783025.851,486527.959
SADGURU GOW SHEVA CENTRE,MEDICAL,2782990.15,486475.03
SADGURU PUBLIC HR.SEC,SCHOOL,2782801.571,486360.61
UNION bank OF INDIA,BANK,2782777.791,486347.47
RAM SANSKRIT VIDYALAYA,SCHOOL,2782724.66,486320.705
NIRMAL SADAN,RESIDENCY,2782350.53,486029.841
PANCHVATI,HOTEL,2782204.569,486263.822
AAROGYA DHAM GATE,GATE,2782130.191,486287.059
STATUE,STATUE,2782102.239,486251.574