Point Name,Code,Northing (Y),Easting (X),Elevation (Z)
A1,ATREE,2781780.401,486203.91,97.344
A135,ATREE,2781762.896,486229.83,97.694
A136,ATREE,2781764.207,486231.64,97.701
A137,ATREE,2781761.185,486222.348,97.207
A138,ATREE,2781759.224,486224.82,97.179
A2,ATREE,2781819.835,486184.033,97.851
B66,BTREE,2781862.717,486212.019,95.976
B67,BTREE,2781862.822,486210.255,96.049
B68,BTREE,2781868.027,486212.976,95.793
B69,BTREE,2781879.211,486221.748,96.748
B70,BTREE,2781889.475,486225.072,95.762
B71,BTREE,2781905.32,486240.591,95.026
B72,BTREE,2781894.344,486226.841,95.605
B73,BTREE,2781899.419,486228.164,95.451
B74,BTREE,2781906.589,486230.592,94.071
B75,BTREE,2781902.899,486226.444,94.939
B76,BTREE,2781925.495,486236.948,93.02
B77,BTREE,2781886.01,486176.024,98.408
B78,BTREE,2781915.484,486201.129,96.129
B79,BTREE,2781873.028,486165.337,94.532
C1,CTREE,2781945.475,486251.468,90.671
C10,CTREE,2781919.303,486242.407,93.723
C11,CTREE,2781912.765,486240.304,94.193
C12,CTREE,2781937.427,486241.358,93.004
C13,CTREE,2781931.414,486239.129,93.524
C14,CTREE,2781926.039,486237.113,93.649
C15,CTREE,2781961.419,486249.611,90.472
C16,CTREE,2781968.705,486251.862,90.215
C17,CTREE,2781975.629,486254.203,89.833
C18,CTREE,2782000.87,486262.465,88.998
C2,CTREE,2781952.183,486253.859,90.454
C3,CTREE,2781964.642,486258.945,89.85
C4,CTREE,2781959.018,486256.156,90.264
C5,CTREE,2781966.601,486258.467,90.21
C6,CTREE,2781980.23,486263.066,89.92
C7,CTREE,2781934.851,486247.59,91.816
C8,CTREE,2781928.206,486245.755,92.507
C9,CTREE,2781922.121,486243.347,93.457
DT1,TREE,2781895.752,486292.026,98.425
DT2,TREE,2781936.717,486269.082,97.774
DT3,TREE,2781931.955,486267.047,97.225
DT4,TREE,2781940.989,486260.103,93.377
DT5,TREE,2781937.99,486254.921,92.266
DT6,TREE,2781934.415,486264.284,95.041
DT7,TREE,2781916.147,486262.713,100.643
DT8,TREE,2781937.427,486311.764,102.082
E68,ETREE,2781866.022,486279.213,99.135
E69,ETREE,2781863.668,486266.15,99.138
H108,HTREE,2781713.67,486380.427,101.416
H109,HTREE,2781692.97,486382.076,103.065
H110,HTREE,2781678.597,486383.225,103.667
H111,HTREE,2781683.482,486383.316,103.479
H112,HTREE,2781684.481,486389.619,103.655
H113,HTREE,2781703.807,486392.288,102.827
H114,HTREE,2781706.955,486392.136,102.365
H115,HTREE,2781711.501,486394.601,102.331
H116,HTREE,2781719.493,486393.253,102.849
H117,HTREE,2781726.445,486384.049,102.657
H118,HTREE,2781743.613,486363.368,102.168
H119,HTREE,2781736.028,486362.55,102.234
H120,HTREE,2781739.536,486313.416,100.352
H121,HTREE,2781735.384,486324.578,100.908
H122,HTREE,2781730.039,486337.775,99.657
H123,HTREE,2781727.753,486340.513,100.516
H124,HTREE,2781725.753,486352.798,100.786
H125,HTREE,2781724.351,486355.568,100.898
H126,HTREE,2781722.363,486360.972,100.391
H127,HTREE,2781721.681,486362.933,100.537
H128,HTREE,2781716.94,486369.387,100.82
H129,HTREE,2781709.652,486371.496,100.128
H130,HTREE,2781706.264,486372.092,100.555
H131,HTREE,2781693.034,486365.418,101.351
H132,HTREE,2781629.064,486352.925,101.631
H138,HTREE,2781749.207,486388.151,103.571
I50,ITREE,2781588.786,486347.814,104.2
I51,ITREE,2781583.361,486345.16,103.978
I52,ITREE,2781569.583,486343.7,103.747
I53,ITREE,2781559.343,486344.501,105.608
I54,ITREE,2781546.39,486345.747,104.107
I55,ITREE,2781566.184,486329.095,103.087
I56,ITREE,2781537.169,486348.065,105.456
I57,ITREE,2781549.94,486317.49,104.489
I58,ITREE,2781536.107,486324.352,104.747
I59,ITREE,2781552.668,486268.63,108.629
I60,ITREE,2781542.644,486274.913,111.08
I61,ITREE,2781561.466,486257.331,104.55
I62,ITREE,2781559.488,486257.296,101.364
I63,ITREE,2781583.589,486284.802,104.38
I64,ITREE,2781559.304,486318.867,102.782
P022,TREE,2781600.315,486261.895,101.621
P023,TREE,2781605.404,486245.435,101.787
P024,TREE,2781611.947,486259.945,102.751
P027,TREE,2781615.393,486274.66,100.842
P028,TREE,2781605.595,486287.194,101.287
P029,TREE,2781595.161,486294.702,103.457
P030,TREE,2781703.29,486267.38,102.412